order_year,order_month,Total_orders,order date (DateOrders),MA_3,MA_6
2015,1,5322,2015-01-01,,
2015,2,4729,2015-02-01,,
2015,3,5362,2015-03-01,5137.666666666667,
2015,4,5126,2015-04-01,5072.333333333333,
2015,5,5357,2015-05-01,5281.666666666667,
2015,6,5134,2015-06-01,5205.666666666667,5171.666666666667
2015,7,5299,2015-07-01,5263.333333333333,5167.833333333333
2015,8,5273,2015-08-01,5235.333333333333,5258.5
2015,9,5140,2015-09-01,5237.333333333333,5221.5
2015,10,5302,2015-10-01,5238.333333333333,5250.833333333333
2015,11,5235,2015-11-01,5225.666666666667,5230.5
2015,12,5371,2015-12-01,5302.666666666667,5270.0
2016,1,5317,2016-01-01,5307.666666666667,5273.0
2016,2,4894,2016-02-01,5194.0,5209.833333333333
2016,3,5210,2016-03-01,5140.333333333333,5221.5
2016,4,5097,2016-04-01,5067.0,5187.333333333333
2016,5,5302,2016-05-01,5203.0,5198.5
2016,6,5054,2016-06-01,5151.0,5145.666666666667
2016,7,5305,2016-07-01,5220.333333333333,5143.666666666667
2016,8,5334,2016-08-01,5231.0,5217.0
2016,9,5160,2016-09-01,5266.333333333333,5208.666666666667
2016,10,5398,2016-10-01,5297.333333333333,5258.833333333333
2016,11,5210,2016-11-01,5256.0,5243.5
2016,12,5269,2016-12-01,5292.333333333333,5279.333333333333
2017,1,5217,2017-01-01,5232.0,5264.666666666667
2017,2,4906,2017-02-01,5130.666666666667,5193.333333333333
2017,3,5347,2017-03-01,5156.666666666667,5224.5
2017,4,5212,2017-04-01,5155.0,5193.5
2017,5,5317,2017-05-01,5292.0,5211.333333333333
2017,6,4951,2017-06-01,5160.0,5158.333333333333
2017,7,5318,2017-07-01,5195.333333333333,5175.166666666667
2017,8,5305,2017-08-01,5191.333333333333,5241.666666666667
2017,9,5189,2017-09-01,5270.666666666667,5215.333333333333
2017,10,2255,2017-10-01,4249.666666666667,4722.5
2017,11,2055,2017-11-01,3166.3333333333335,4178.833333333333
2017,12,2124,2017-12-01,2144.6666666666665,3707.6666666666665
2018,1,2123,2018-01-01,2100.6666666666665,3175.1666666666665
